FREQ[Hz],Cp,Rp
 277.056k, 9.75564p,341.114
 285.800k, 9.60212p,341.074
 294.821k, 9.44329p,341.031
 304.125k, 9.31826p,340.993
 313.724k, 9.15277p,341.011
 323.625k, 9.16434p,340.922
 333.839k, 9.09506p,340.876
 344.375k, 9.01550p,340.826
 355.244k, 8.93963p,340.771
 366.456k, 8.86693p,340.713
 378.022k, 8.76507p,340.646
 389.952k, 8.68554p,340.577
 402.259k, 8.58260p,340.497
 414.955k, 8.45839p,340.428
 428.051k, 8.32763p,340.348
 441.561k, 8.20561p,340.263
 455.497k, 8.07737p,340.171
 469.873k, 7.92580p,340.069
 484.702k, 7.77278p,339.957
 500.000k, 7.61358p,339.828
