FREQ[Hz],Cp,Rp
 268.580k, 5.51192p,492.08
 277.056k, 5.48194p,492.032
 285.800k, 5.45018p,491.973
 294.821k, 5.41763p,491.91
 304.125k, 5.39686p,491.861
 313.724k, 5.42244p,491.909
 323.625k, 5.40189p,491.76
 333.839k, 5.40601p,491.694
 344.375k, 5.39617p,491.625
 355.244k, 5.38668p,491.545
 366.456k, 5.36867p,491.456
 378.022k, 5.34772p,491.358
 389.952k, 5.32112p,491.247
 402.259k, 5.29530p,491.137
 414.955k, 5.25675p,491.04
 428.051k, 5.21022p,490.936
 441.561k, 5.16413p,490.825
 455.497k, 5.11299p,490.706
 469.873k, 5.03380p,490.56
 484.702k, 4.96339p,490.397
 500.000k, 4.89631p,490.219
